X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.5988013,53.55452291,1,2022/09/06 12:00:00+00,Disorder,General Disorder,Suspicious Vehicle,109A AV/161 ST,6,9,2022,06-09-2022
-113.5815427,53.54326555,2,2022/09/06 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,102 AV/151 ST,6,9,2022,06-09-2022
-113.6835269,53.52362213,3,2022/09/06 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,89A AV/210 ST,6,9,2022,06-09-2022
-113.4271419,53.53834064,4,2022/09/06 12:00:00+00,Non-Violent,Property,Break and Enter Residential,98 AV/98 AV,6,9,2022,06-09-2022
-113.6205648,53.54136975,5,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,STONY PLAIN RD/175 ST,6,9,2022,06-09-2022
-113.5644083,53.4539669,6,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,23 AV/RABBIT HILL RD,6,9,2022,06-09-2022
-113.5084272,53.54301702,7,2022/09/06 12:00:00+00,Violent,Personal Violence,Assault,102 AV/109 ST,6,9,2022,06-09-2022
-113.5213187,53.54093996,8,2022/09/06 12:00:00+00,Non-Violent,Property,Fraud General,JASPER AV/116 ST,6,9,2022,06-09-2022
-113.5208588,53.52005445,9,2022/09/06 12:00:00+00,Disorder,General Disorder,Trouble with Person,112 ST/83 AV,6,9,2022,06-09-2022
-113.492006,53.58225362,10,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,97 ST/125A AV,6,9,2022,06-09-2022
-113.4491518,53.57197298,11,2022/09/06 12:00:00+00,Violent,Personal Violence,Assault,119 AV/70 ST,6,9,2022,06-09-2022
-113.5176455,53.54301504,12,2022/09/06 12:00:00+00,Non-Violent,Property,Break and Enter Residential,102 AV/114 ST,6,9,2022,06-09-2022
-113.5245201,53.52801581,13,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Over $5000,NOT NAMED RD/NOT NAMED RD,6,9,2022,06-09-2022
-113.5696812,53.62320916,14,2022/09/06 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,142 ST/162 AV,6,9,2022,06-09-2022
-113.5903642,53.51950318,15,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,156 ST/87 AV,6,9,2022,06-09-2022
-113.4418659,53.63539848,16,2022/09/06 12:00:00+00,Non-Violent,Property,Theft Under $5000,65A ST/174 AV,6,9,2022,06-09-2022
-113.4360563,53.58762784,17,2022/09/06 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,129 AV/BELVEDERE TC,6,9,2022,06-09-2022
-113.4123609,53.45194088,18,2022/09/06 12:00:00+00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,20 AV/46 ST,6,9,2022,06-09-2022
-113.3543547,53.63097542,19,2022/09/06 12:00:00+00,Disorder,General Disorder,Trouble with Person,LODGEPOLE PL/JUNIPER ST,6,9,2022,06-09-2022
-113.4922692,53.5421524,20,2022/09/05 12:00:00+00,Non-Violent,Property,Theft Under $5000,100A ST/101A AV,5,9,2022,05-09-2022
-113.5212961,53.54461439,21,2022/09/05 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,103 AV/116 ST,5,9,2022,05-09-2022
-113.5790562,53.48990189,22,2022/09/05 12:00:00+00,Non-Violent,Property,Fire Arson,52 AV/52 AV,5,9,2022,05-09-2022
-113.3849401,53.59727241,23,2022/09/05 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,135 AV/137 AV,5,9,2022,05-09-2022
-113.3931369,53.60781844,24,2022/09/05 12:00:00+00,Disorder,General Disorder,Trouble with Person,34 ST/145 AV,5,9,2022,05-09-2022
-113.4305916,53.59907768,25,2022/09/05 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,137 AV/58 ST,5,9,2022,05-09-2022
-113.6406874,53.5185996,26,2022/09/05 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,184 ST/85 AV,5,9,2022,05-09-2022
-113.4886441,53.56104839,27,2022/09/05 12:00:00+00,Non-Violent,Property,Theft of Motor Vehicle,112 AV/95A ST,5,9,2022,05-09-2022
