Ward,Neighbourhood Number,Neighbourhood Name,English Only,Arabic,Cantonese,French,German,Mandarin,North American Indigenous,Punjabi,Spanish,"Tagalog (Pilipino, Filipino)",Ukrainian,Other,No Response
WARD 1,3140,CRESTWOOD,727,0,11,18,7,5,0,2,2,14,5,67,58
WARD 1,3330,PARKVIEW,570,0,14,51,14,3,0,0,10,15,19,44,560
WARD 12,6150,DALY GROVE,654,5,11,14,7,3,1,98,14,30,2,75,261
WARD 1,4474,STARLING,247,0,0,5,1,0,0,1,0,0,0,5,13
WARD 8,5040,BELGRAVIA,579,2,18,36,17,19,0,4,7,3,7,42,186
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,0,0,0,0,0,19
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1210,RIVERDALE,623,3,2,36,11,8,3,2,10,6,4,25,223
WARD 2,3320,OXFORD,614,92,56,43,2,37,0,25,11,52,24,143,234
WARD 1,4020,ALDERGROVE,1029,16,22,24,6,20,1,5,19,66,7,115,581
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6211,ELLERSLIE,575,13,17,37,7,9,0,84,24,93,5,138,981
WARD 3,3030,BATURYN,1127,69,34,30,7,13,0,1,15,26,17,144,265
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5360,RIDEAU PARK,482,8,11,22,35,9,0,3,4,22,12,59,419
WARD 5,4280,LYNNWOOD,571,21,10,37,15,10,5,9,12,102,8,85,490
WARD 1,4060,BRITANNIA YOUNGSTOWN,1039,12,11,41,11,5,3,4,13,58,13,143,864
WARD 4,2070,BELMONT,1151,25,14,38,9,6,2,26,39,47,21,161,419
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2130,CASSELMAN,816,24,40,51,7,8,2,11,69,26,20,178,135
WARD 4,2670,RURAL NORTH EAST HORSE HILL,16,0,0,0,0,0,0,2,0,0,0,2,122
WARD 8,6730,TERRACE HEIGHTS,462,4,12,36,16,1,2,7,7,20,13,33,535
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2020,BALWIN,812,30,12,38,11,2,3,0,25,11,21,167,412
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2390,KERNOHAN,833,3,8,12,2,0,0,1,9,8,14,79,204
WARD 12,6580,POLLARD MEADOWS,650,15,15,30,13,3,3,176,29,53,1,119,466
WARD 12,6530,MINCHAU,353,1,13,22,7,2,1,24,13,22,1,55,563
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2600,OZERNA,431,60,90,17,4,19,0,30,21,15,18,202,448
WARD 8,6270,GOLD BAR,840,8,1,19,8,0,0,1,2,24,6,16,196
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2145,CLAREVIEW TOWN CENTRE,572,21,28,34,4,46,0,24,28,79,5,118,463
WARD 10,5170,EMPIRE PARK,940,24,14,46,15,84,4,13,31,87,5,190,847
WARD 1,4710,POTTER GREENS,365,8,12,13,2,2,0,3,3,15,7,54,82
WARD 7,1080,DELTON,485,6,32,28,6,2,6,0,12,13,11,108,138
WARD 12,6662,WALKER,974,31,15,57,10,15,0,278,46,194,6,545,382
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2710,SIFTON PARK,280,5,6,12,1,0,1,8,8,10,3,58,412
WARD 5,4080,CALLINGWOOD SOUTH,1080,25,10,62,15,15,4,7,20,53,13,183,1352
WARD 8,5580,WINDSOR PARK,219,0,5,5,6,4,0,4,1,0,2,18,218
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5577,GLENRIDDING AREA,261,7,8,4,3,26,0,4,3,12,1,28,156
WARD 2,3250,KENSINGTON,842,35,4,23,13,3,3,1,9,23,24,74,585
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6661,CHARLESWORTH,595,11,14,56,9,10,0,131,37,117,7,214,667
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1230,SPRUCE AVENUE,232,6,5,14,6,7,0,1,10,20,7,56,393
WARD 1,4700,BRECKENRIDGE GREENS,164,4,22,29,7,12,0,5,10,28,7,57,403
WARD 4,2590,OVERLANDERS,608,18,1,54,5,0,2,6,24,8,15,114,372
WARD 1,4620,WESTVIEW VILLAGE,470,1,1,25,7,0,0,0,3,3,8,13,512
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1030,CENTRAL MCDOUGALL,1258,42,47,73,11,22,4,20,31,84,28,486,887
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3120,CHAMBERY,242,82,39,27,3,13,1,18,8,19,12,108,155
WARD 7,2580,NORTHMOUNT,376,51,35,22,11,11,1,4,21,22,36,157,554
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5480,STRATHCONA,2500,54,30,165,63,52,7,21,95,18,24,272,2004
WARD 4,2611,CY BECKER,22,1,2,4,0,0,0,4,2,8,0,15,167
WARD 8,6040,BONNIE DOON,958,3,15,246,42,5,2,2,36,12,14,103,694
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,352,7,11,20,3,15,0,29,14,43,2,91,167
WARD 11,6010,ARGYLL,182,1,1,9,7,4,0,0,2,0,4,13,112
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,0,0,7
WARD 6,1180,QUEEN MARY PARK,1657,60,18,107,19,18,8,20,42,66,23,464,1445
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5160,DUGGAN,796,24,30,69,58,54,7,18,21,77,17,262,255
WARD 5,4380,ORMSBY PLACE,875,18,46,41,11,27,0,15,28,72,17,153,597
WARD 2,3111,GRIESBACH,659,40,41,38,3,31,0,9,16,38,16,150,713
WARD 11,6340,KAMEYOSEK,519,7,4,39,93,0,0,24,11,29,4,80,296
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4240,LA PERLE,937,26,33,34,10,21,2,7,31,74,12,101,665
WARD 3,2700,SCHONSEE,626,25,59,8,5,15,0,20,7,23,12,100,116
WARD 4,2340,HOLLICK-KENYON,892,58,58,64,9,34,2,66,55,33,34,299,470
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1250,WESTWOOD,1037,34,8,26,3,19,6,5,24,13,11,114,527
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2110,BRINTNELL,628,21,30,42,2,22,1,56,36,52,10,162,1034
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4200,HIGH PARK,193,2,2,9,6,1,0,1,5,8,6,20,410
WARD 6,3210,GROVENOR,523,2,11,37,3,0,0,1,14,7,7,55,278
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6230,FOREST HEIGHTS,1086,6,13,70,27,7,0,2,10,11,57,107,501
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3240,INGLEWOOD,1768,77,61,172,62,27,18,27,96,105,54,211,787
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3410,SHERBROOKE,509,8,2,20,3,1,0,1,7,21,6,44,444
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5630,LEGER,279,12,28,15,3,68,0,21,8,22,5,119,208
WARD 10,5180,ERMINESKIN,1108,35,57,79,68,44,0,27,39,180,33,263,511
WARD 9,5340,RAMSAY HEIGHTS,905,16,29,38,24,23,0,9,17,19,13,94,175
WARD 10,5070,BLUE QUILL ESTATES,297,11,20,14,8,22,1,6,6,14,11,36,45
WARD 4,2500,MATT BERRY,637,49,71,15,3,16,0,48,14,16,19,177,177
WARD 2,3470,CARLTON,614,71,41,53,5,13,0,24,11,83,8,162,579
WARD 9,5505,AMBLESIDE,994,14,72,48,7,101,0,21,26,34,8,164,717
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5451,RICHFORD,156,7,11,5,7,8,0,28,4,1,1,41,34
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5350,RHATIGAN RIDGE,960,5,29,10,5,31,0,5,0,1,9,25,37
WARD 9,5462,CHAPPELLE AREA,776,9,14,34,11,28,0,31,24,25,6,140,544
WARD 9,5454,RUTHERFORD,1910,34,108,90,22,228,0,50,72,104,16,484,977
WARD 12,6330,JACKSON HEIGHTS,407,5,40,24,9,15,1,136,22,44,7,104,419
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5100,BULYEA HEIGHTS,332,3,51,9,12,34,0,11,4,2,5,38,689
WARD 5,4466,CAMERON HEIGHTS,411,4,10,9,2,15,0,13,7,6,2,40,21
WARD 8,6350,KENILWORTH,674,3,14,66,46,2,0,3,10,4,16,37,178
WARD 8,5330,QUEEN ALEXANDRA,1536,22,35,87,33,61,3,18,34,26,21,168,846
WARD 9,5458,ALLARD,238,6,26,24,5,72,0,26,14,31,4,130,482
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6660,RURAL SOUTH EAST,39,0,1,2,6,0,1,7,1,0,0,2,2
WARD 5,3270,LAURIER HEIGHTS,282,2,13,14,6,4,0,0,7,3,10,17,857
WARD 11,6360,KING EDWARD PARK,1101,5,13,111,44,7,2,1,28,21,13,77,495
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6442,SILVER BERRY,518,5,8,25,6,6,0,268,33,81,1,139,1423
WARD 5,4420,QUESNELL HEIGHTS,90,0,5,5,1,0,0,0,0,1,0,4,14
WARD 9,5640,TERWILLEGAR TOWNE,1096,25,61,84,23,79,0,27,36,36,26,203,570
WARD 12,6443,TAMARACK,583,3,19,26,5,6,0,303,21,71,3,194,204
WARD 5,4270,LYMBURN,1191,19,55,56,7,25,1,6,36,112,12,191,416
WARD 11,6720,TAWA,477,2,6,12,8,3,0,22,44,47,4,80,231
WARD 1,4040,BELMEAD,774,20,59,76,13,31,4,13,28,109,17,194,304
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6061,CAPILANO,844,1,4,30,12,4,2,0,6,4,18,93,62
WARD 2,3450,WOODCROFT,710,4,6,28,19,6,1,1,21,32,23,58,271
WARD 11,6480,MICHAELS PARK,275,1,25,18,8,2,0,6,6,35,6,70,356
WARD 9,5590,BLACKBURNE,346,10,13,22,16,9,0,5,7,12,4,47,66
WARD 2,3010,ATHLONE,619,14,28,32,4,6,1,0,10,64,11,102,257
WARD 12,6390,LARKSPUR,1034,8,22,32,11,11,0,147,9,27,5,97,318
WARD 3,2410,KILKENNY,951,90,40,54,19,9,8,6,29,19,26,248,536
WARD 11,6250,GAINER INDUSTRIAL,162,2,0,6,1,5,0,1,6,5,2,7,38
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5430,ROYAL GARDENS,716,26,13,53,22,52,1,5,18,28,14,134,320
WARD 7,1100,EASTWOOD,958,16,26,37,9,9,13,4,25,14,20,190,576
WARD 5,4110,DECHENE,332,3,26,18,8,13,1,2,6,13,8,49,113
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2521,MCCONACHIE AREA,1066,26,32,28,1,20,0,83,28,40,14,150,430
WARD 9,5452,MACEWAN,1070,27,84,83,22,110,0,31,56,87,16,260,388
WARD 11,6400,LEE RIDGE,339,8,6,18,11,3,1,6,19,27,2,89,456
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5540,WESTBROOK ESTATES,270,1,5,10,0,7,0,2,1,0,4,15,167
WARD 11,6280,GREENVIEW,618,4,16,32,19,3,0,18,18,16,3,59,149
WARD 3,3040,BEAUMARIS,807,122,48,50,15,23,1,7,20,17,92,172,585
WARD 5,4610,WESTRIDGE,329,0,10,6,4,4,0,1,1,1,4,9,116
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2430,KIRKNESS,901,16,13,27,0,3,2,51,48,23,7,135,255
WARD 6,3200,GLENORA,804,9,12,55,10,1,0,2,9,12,10,70,451
WARD 1,4540,TERRA LOSA,759,15,38,39,20,18,2,0,14,25,21,103,248
WARD 2,3480,HUDSON,250,40,36,23,5,18,0,18,15,37,11,119,228
WARD 5,4390,PATRICIA HEIGHTS,384,10,4,17,5,3,0,0,8,10,3,36,187
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,0,0,1
WARD 10,5050,BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2530,MCLEOD,476,12,26,11,8,0,0,4,12,8,30,75,200
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4070,CALLINGWOOD NORTH,663,6,17,9,3,8,1,3,18,53,6,57,265
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3060,CAERNARVON,799,100,33,36,9,23,1,3,30,53,18,145,366
WARD 12,6441,MAPLE,229,6,2,10,1,2,0,42,6,9,0,84,17
WARD 12,6444,LAUREL,403,8,10,31,5,1,0,418,21,147,1,379,731
WARD 4,2320,HAIRSINE,650,3,6,22,2,1,0,8,19,18,9,73,157
WARD 5,4551,GRANVILLE,232,5,9,6,4,9,6,17,4,53,6,22,230
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,3310,NORTH GLENORA,581,8,5,13,3,2,0,1,4,5,8,26,147
WARD 3,2511,MAYLIEWAN,439,45,81,19,1,12,0,30,20,10,30,145,422
WARD 11,6520,MILL WOODS TOWN CENTRE,312,1,4,18,41,2,1,25,8,26,14,79,64
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4430,RIO TERRACE,353,1,2,25,12,3,0,0,3,3,7,16,71
WARD 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2720,YORK,840,24,18,39,9,9,2,12,44,52,31,156,219
WARD 2,3460,ALBANY,212,20,7,17,1,3,0,13,13,10,1,46,205
WARD 8,5200,GARNEAU,1918,66,63,143,43,608,3,27,73,17,14,318,2273
WARD 9,5300,OGILVIE RIDGE,207,8,10,2,2,9,1,3,2,1,3,11,101
WARD 11,6760,TWEDDLE PLACE,301,5,15,18,25,3,0,10,14,20,7,89,598
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1090,DOWNTOWN,3357,75,109,209,40,312,9,28,104,76,58,473,3840
WARD 3,3180,DUNLUCE,1126,99,34,87,11,27,10,5,23,48,20,247,650
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2560,NEWTON,717,2,7,35,8,2,2,5,17,14,35,129,177
WARD 8,6320,IDYLWYLDE,533,3,7,51,32,1,2,4,10,11,15,51,214
WARD 5,4462,EDGEMONT,216,0,9,16,1,17,0,10,9,47,1,69,143
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,8,0,0,0,0,0,0,0,0,0,1,0,21
WARD 9,5469,PAISLEY,70,1,3,7,0,4,0,3,4,1,1,23,72
WARD 11,6750,TIPASKAN,424,7,8,30,10,7,1,51,19,79,5,164,203
WARD 11,6460,MEYOKUMIN,389,4,8,42,9,3,1,31,39,38,6,77,368
WARD 7,2290,GLENGARRY,579,79,24,42,14,8,1,1,20,20,53,146,254
WARD 10,5210,GRANDVIEW HEIGHTS,211,2,9,7,1,14,0,3,6,3,3,20,156
WARD 2,3170,DOVERCOURT,565,2,4,11,3,5,0,0,10,21,8,33,204
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4220,JAMIESON PLACE,485,5,24,23,6,14,0,7,7,47,5,81,615
WARD 1,4470,RURAL WEST BIG LAKE,46,0,0,0,2,0,0,0,0,0,2,4,3
WARD 8,6310,HOLYROOD,756,2,6,80,23,5,2,1,8,10,14,38,587
WARD 1,4471,TRUMPETER AREA,252,3,9,22,4,3,0,2,6,10,2,25,86
WARD 1,4730,SUDER GREENS,554,8,32,18,5,17,0,1,13,87,12,120,300
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3390,ROSSLYN,991,36,21,18,12,9,0,1,9,19,31,43,111
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4475,KINOKAMAU PLAINS AREA,49,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3280,LORELEI,729,153,17,25,3,7,1,7,14,49,11,167,232
