X,Y,OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported
-113.501191623,53.5514102930001,1,2022/08/24 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,107 AV/105 ST,24,8,2022,2022/08/24
-113.513598631,53.587448781,2,2022/08/24 12:00:00+00,Non-Violent,Property,Break and Enter Commercial,129 AV/112 ST,24,8,2022,2022/08/24
-113.535917496,53.570303983,3,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,118 AV/124 ST,24,8,2022,2022/08/24
-113.550613928,53.6016092510001,4,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,133 ST/140 AV,24,8,2022,2022/08/24
-113.382803781,53.6138307000001,5,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,151 AV/KIRKNESS RD,24,8,2022,2022/08/24
-113.600976374,53.5433018860001,6,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,102 AV/162 ST,24,8,2022,2022/08/24
-113.449208563,53.58608308,7,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,128 AV/70 ST,24,8,2022,2022/08/24
-113.486130028,53.5180553420001,8,2022/08/24 12:00:00+00,Violent,Personal Violence,Assault,82 AV/99 ST,24,8,2022,2022/08/24
-113.477083268,53.5421644310001,9,2022/08/24 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,100A AV/95 ST,24,8,2022,2022/08/24
-113.501258426,53.480830165,10,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,100 AV/WHITEMUD DR,24,8,2022,2022/08/24
-113.541086908,53.628378447,11,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,127 ST/127 ST,24,8,2022,2022/08/24
-113.539521921,53.5992117750001,12,2022/08/24 12:00:00+00,Disorder,General Disorder,Trouble with Person,127 ST/137 AV,24,8,2022,2022/08/24
-113.528664135,53.543017337,13,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,102 AV/120 ST,24,8,2022,2022/08/24
-113.519294691,53.477219028,14,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Disturbance,111B ST/111B ST,24,8,2022,2022/08/24
-113.483506181,53.6121364950001,15,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,151 AV/93 ST,24,8,2022,2022/08/24
-113.532093265,53.4411463870001,16,2022/08/24 12:00:00+00,Disorder,Disputes/Disturbances,Dispute,110A ST/TWIN BROOKS CO,24,8,2022,2022/08/24
-113.508426034,53.5462261340001,17,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Over $5000,104 AV/109 ST,24,8,2022,2022/08/24
-113.447591799,53.589187263,18,2022/08/24 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,130 AV/69 ST,24,8,2022,2022/08/24
-113.627291575,53.5704341090001,19,2022/08/24 12:00:00+00,Non-Violent,Property,Internet Fraud,118 AV/178 ST,24,8,2022,2022/08/24
-113.526480139,53.568487142,20,2022/08/24 12:00:00+00,Disorder,Provincial Statute Violations,Intoxicated Person,AIRPORT RD/119 ST,24,8,2022,2022/08/24
-113.585545282,53.58048146,21,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,YELLOWHEAD TR/YELLOWHEAD TR,24,8,2022,2022/08/24
-113.495561672,53.5395607130001,22,2022/08/24 12:00:00+00,Disorder,Mischief/Graffiti,Mischief - Property,102 ST/MACDONALD DR,24,8,2022,2022/08/24
-113.487229299,53.57038942,23,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,118 AV/95 ST,24,8,2022,2022/08/24
-113.42609708,53.4220380940001,24,2022/08/24 12:00:00+00,Non-Violent,Property,Theft Under $5000,14 AV SW/53 ST SW,24,8,2022,2022/08/24
